Title,Author,Publication Date,Pages,Genre,Rating,Summary,Converted,num_pages
The Girl with the Dragon Tattoo,Stieg Larsson,2005-08-01 00:00:00,480 pages,"['Fiction', 'Mystery', 'Thriller']",4.17,harriet vanger a scion of one of swedens wealthiest families disappeared over forty years ago all these years later her aged uncle continues to seek the truth he hires mikael blomkvist a crusading journalist recently trapped by a libel conviction to investigate he is aided by the pierced and tattooed punk prodigy lisbeth salander together they tap into a vein of unfathomable iniquity and astonishing corruptionan international publishing sensation stieg larssons the girl with the dragon tattoo combines murder mystery family saga love story and financial intrigue into one satisfyingly complex and entertainingly atmospheric novel,1,480.0
How the Grinch Stole Christmas!,Dr. Seuss,1957-10-12 00:00:00,64 pages,"['Childrens', 'Picture Books', 'Christmas']",4.38,the grinch hated christmas the whole christmas seasonnow please dont ask why no one quite knows the reasondr seusss smallhearted grinch ranks right up there with scrooge when it comes to the crankiest scowling holiday grumps of all timefor 53 years the grinch has lived in a cave on the side of a mountain looming above the whos in whoville the noisy holiday preparations and infernal singing of the happy little citizens below annoy him to no end the grinch decides this frivolous merriment must stop his wonderful awful idea is to don a santa outfit strap heavy antlers on his poor quivering dog max construct a makeshift sleigh head down to whoville and strip the chafingly cheerful whos of their yuletide glee once and for alllooking quite out of place and very disturbing in his makeshift santa getup the grinch slithers down chimneys with empty bags and stealing the whos presents their food even the logs from their humble whofires he takes the ramshackle sleigh to mt crumpit to dump it and waits to hear the sobs of the whos when they wake up and discover the trappings of christmas have disappeared imagine the whos dismay when they discover the evildoings of grinch in his antisanta guise but what is that sound its not sobbing but singing children simultaneously adore and fear this triumphant twisted seussian testimonial to the undaunted cheerfulness of the whos the transcendent nature of joy and of course the growth potential of a heart thats two sizes too small this holiday classic is perfect for reading aloud to your favorite little whos,1,64.0
Matilda,Roald Dahl,1988-09-28 00:00:00,240 pages,"['Fiction', 'Childrens', 'Fantasy']",4.33,"the trunchbull is no match for matildamatilda is a little girl who is far too good to be true at age fiveandahalf shes knocking off doubledigit multiplication problems and blitzreading dickens even more remarkably her classmates love her even though shes a supernerd and the teachers pet but everything is not perfect in matildas worldfor starters she has two of the most idiotic selfcentered parents who ever lived then theres the large busty nightmare of a school principal miss the trunchbull a former hammerthrowing champion who flings children at will and is approximately as sympathetic as a bulldozer fortunately for matilda she has the inner resources to deal with such annoyances astonishing intelligence saintly patience and an innate predilection for revenge
roald dahl
 was a spy ace fighterpilot chocolate historian and medical inventor he was also the author of charlie and the chocolate factory matilda the bfg and many more brilliant stories he remains the worlds no 1 storyteller",1,240.0
Lord of the Flies,William Golding,1954-09-17 00:00:00,182 pages,"['Fiction', 'Classics', 'Young Adult']",3.7,at the dawn of the next world war a plane crashes on an uncharted island stranding a group of schoolboys at first with no adult supervision their freedom is something to celebrate this far from civilization the boys can do anything they want anything they attempt to forge their own society failing however in the face of terror sin and evil and as order collapses as strange howls echo in the night as terror begins its reign the hope of adventure seems as far from reality as the hope of being rescued labeled a parable an allegory a myth a morality tale a parody a political treatise even a vision of the apocalypse lord of the flies is perhaps our most memorable novel about the end of innocence the darkness of mans heart,1,182.0
Emma,Jane Austen,1815-12-23 00:00:00,474 pages,"['Fiction', 'Historical Fiction', 'Literature']",4.05,the newest edition is here another alternate cover can be found hereemma woodhouse is one of austens most captivating and vivid characters beautiful spoilt vain and irrepressibly witty emma organizes the lives of the inhabitants of her sleepy little village and plays matchmaker with devastating effect,1,474.0
Midnight in the Garden of Good and Evil,John Berendt,1994-01-13 00:00:00,386 pages,"['Nonfiction', 'True Crime', 'Mystery']",3.92,shots rang out in savannahs grandest mansion in the misty early morning hours of may 2 1981 was it murder or selfdefense for nearly a decade the shooting and its aftermath reverberated throughout this city of mosshung oaks and shaded squares john berendts narrative reads like a thoroughly engrossing novel and yet it is a work of nonfiction berendt interweaves a firstperson account of life in this isolated remnant of the old south with the unpredictable twists and turns of a landmark murder casethe story is peopled by a gallery of remarkable characters the wellbred society ladies of the married womans card club the turbulent young redneck gigolo the hapless recluse who owns a bottle of poison so powerful it could kill every man woman and child in savannah the aging and profane southern belle who is the soul of pampered selfabsorption the uproarious black drag queen the acerbic and arrogant antiques dealer the sweettalking pianoplaying con artist young blacks dancing the minuet at the black debutante ball and minerva the voodoo priestess who works her magic in the graveyard at midnight these and other savannahians act as a greek chorus with berendt revealing the alliances hostilities and intrigues that thrive in a town where everyone knows everyone else,1,386.0
Mockingjay,Suzanne Collins,2010-08-24 00:00:00,390 pages,"['Young Adult', 'Dystopia', 'Fiction']",4.1,my name is katniss everdeenwhy am i not deadi should be deadkatniss everdeen girl on fire has survived even though her home has been destroyed gale has escaped katnisss family is safe peeta has been captured by the capitol district 13 really does exist there are rebels there are new leaders a revolution is unfoldingit is by design that katniss was rescued from the arena in the cruel and haunting quarter quell and it is by design that she has long been part of the revolution without knowing it district 13 has come out of the shadows and is plotting to overthrow the capitol everyone it seems has had a hand in the carefully laid plansexcept katnissthe success of the rebellion hinges on katnisss willingness to be a pawn to accept responsibility for countless lives and to change the course of the future of panem to do this she must put aside her feelings of anger and distrust she must become the rebels mockingjayno matter what the personal cost,1,390.0
The Stand,Stephen        King,1978-10-03 00:00:00,1152 pages,"['Horror', 'Fiction', 'Fantasy']",4.35,first came the days of the plague then came the dreams dark dreams that warned of the coming of the dark man the apostate of death his worndown boot heels tramping the night roads the warlord of the charnel house and prince of evil his time is at hand his empire grows in the west and the apocalypse loomsfor hundreds of thousands of fans who read the stand in its original version and wanted more this new edition is stephen kings gift and those who are listening to the stand for the first time will discover a triumphant and eerily plausible work of the imagination that takes on the issues that will determine our survival,1,1152.0
Eclipse,Stephenie Meyer,2007-08-07 00:00:00,629 pages,"['Fantasy', 'Young Adult', 'Romance']",3.73,bellaedwards soft voice came from behind me i turned to see him spring lightly up the porch steps his hair windblown from running he pulled me into his arms at once just like he had in the parking lot and kissed me againthis kiss frightened me there was too much tension too strong an edge to the way his lips crushed mine  like he was afraid we had only so much time left to usas seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge bella once again finds herself surrounded by danger in the midst of it all she is forced to choose between her love for edward and her friendship with jacob  knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf with her graduation quickly approaching bella has one more decision to make life or death but which is whichreaders captivated by twilight and new moon will eagerly devour eclipse the muchanticipated third book in stephenie meyers riveting vampire love saga,1,629.0
Prince Caspian,C.S. Lewis,1951-10-15 00:00:00,240 pages,"['Fantasy', 'Fiction', 'Classics']",3.98,illustrations in this ebook appear in vibrant full color on a full color ebook device and in rich black and white on all other devices  narnia    where animals talk    where trees walk    where a battle is about to begin  a prince denied his rightful throne gathers an army in a desperate attempt to rid his land of a false king but in the end it is a battle of honor between two men alone that will decide the fate of an entire world  prince caspian is the fourth book in cs lewiss the chronicles of narnia a series that has become part of the canon of classic literature drawing readers of all ages into a magical land with unforgettable characters for over fifty years this is a standalone novel but if you would like to see more of lucy and edmunds adventures read the voyage of the dawn treader the fifth book in the chronicles of narnia,1,240.0
Much Ado About Nothing,William Shakespeare,1598-01-01 00:00:00,249 pages,"['Plays', 'Fiction', 'Classics']",4.06,in much ado about nothing shakespeare includes two quite different stories of romantic love hero and claudio fall in love almost at first sight but an outsider don john strikes out at their happiness beatrice and benedick are kept apart by pride and mutual antagonism until others decide to play cupid,1,249.0
Divergent,Veronica Roth,2011-04-25 00:00:00,487 pages,"['Young Adult', 'Dystopia', 'Fantasy']",4.14,in beatrice priors dystopian chicago world society is divided into five factions each dedicated to the cultivation of a particular virtuecandor the honest abnegation the selfless dauntless the brave amity the peaceful and erudite the intelligent on an appointed day of every year all sixteenyearolds must select the faction to which they will devote the rest of their lives for beatrice the decision is between staying with her family and being who she really isshe cant have both so she makes a choice that surprises everyone including herselfduring the highly competitive initiation that follows beatrice renames herself tris and struggles alongside her fellow initiates to live out the choice they have made together they must undergo extreme physical tests of endurance and intense psychological simulations some with devastating consequences as initiation transforms them all tris must determine who her friends really areand where exactly a romance with a sometimes fascinating sometimes exasperating boy fits into the life shes chosen but tris also has a secret one shes kept hidden from everyone because shes been warned it can mean death and as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society she also learns that her secret might help her save those she loves    or it might destroy her,1,487.0
Rebecca,Daphne du Maurier,1938-08-01 00:00:00,428 pages,"['Fiction', 'Mystery', 'Gothic']",4.25,last night i dreamt i went to manderley againworking as a ladys companion the heroine of rebecca learns her place her future looks bleak until on a trip to the south of france she meets max de winter a handsome widower whose sudden proposal of marriage takes her by surprise she accepts but whisked from glamorous monte carlo to the ominous and brooding manderley the new mrs de winter finds max a changed man and the memory of his dead wife rebecca is forever kept alive by the forbidding housekeeper mrs danversnot since jane eyre has a heroine faced such difficulty with the other woman an international bestseller that has never gone out of print rebecca is the haunting story of a young girl consumed by love and the struggle to find her identity,1,428.0
The Lovely Bones,Alice Sebold,2002-07-03 00:00:00,372 pages,"['Fiction', 'Mystery', 'Young Adult']",3.86,my name was salmon like the fish first name susie i was fourteen when i was murdered on december 6 1973so begins the story of susie salmon who is adjusting to her new home in heaven a place that is not at all what she expected even as she is watching life on earth continue without her  her friends trading rumors about her disappearance her killer trying to cover his tracks her griefstricken family unraveling out of unspeakable tragedy and loss the lovely bones succeeds miraculously in building a tale filled with hope humor suspense even joy,1,372.0
Doctor Zhivago,Boris Pasternak,1957-11-01 00:00:00,592 pages,"['Fiction', 'Historical Fiction', 'Russia']",4.01,this epic tale about the effects of the russian revolution and its aftermath on a bourgeois family was not published in the soviet union until 1987 one of the results of its publication in the west was pasternaks complete rejection by soviet authorities when he was awarded the nobel prize for literature in 1958 he was compelled to decline it the book quickly became an international bestsellerdr yury zhivago pasternaks alter ego is a poet philosopher and physician whose life is disrupted by the war and by his love for lara the wife of a revolutionary his artistic nature makes him vulnerable to the brutality and harshness of the bolsheviks the poems he writes constitute some of the most beautiful writing featured in the novel,1,592.0
Coraline,Neil Gaiman,2002-07-02 00:00:00,176 pages,"['Fantasy', 'Horror', 'Fiction']",4.13,the day after they moved in coraline went exploringin coralines familys new flat are twentyone windows and fourteen doors thirteen of the doors open and close the fourteenth is locked and on the other side is only a brick wall until the day coraline unlocks the door to find a passage to another flat in another house just like her own only its different at first things seem marvelous in the other flat the food is better the toy box is filled with windup angels that flutter around the bedroom books whose pictures writhe and crawl and shimmer little dinosaur skulls that chatter their teeth but theres another mother and another father and they want coraline to stay with them and be their little girl they want to change her and never let her go other children are trapped there as well lost souls behind the mirrors coraline is their only hope of rescue she will have to fight with all her wits and all the tools she can find if she is to save the lost children her ordinary life and herself critically acclaimed and awardwinning author neil gaiman will delight readers with his first novel for all ages,1,176.0
The Count of Monte Cristo,Alexandre Dumas,1846-01-15 00:00:00,1276 pages,"['Fiction', 'Historical Fiction', 'Adventure']",4.31,this is an alternate cover edition for isbn 9780140449266the epic tale of wrongful imprisonment adventure and revenge in its definitive translationthrown in prison for a crime he has not committed edmond dantès is confined to the grim fortress of if there he learns of a great hoard of treasure hidden on the isle of monte cristo and he becomes determined not only to escape but also to use the treasure to plot the destruction of the three men responsible for his incarceration dumas epic tale of suffering and retribution inspired by a reallife case of wrongful imprisonment was a huge popular success when it was first serialized in the 1840stranslated with an introduction by robin buss,1,1276.0
V for Vendetta,Alan             Moore,1990-01-14 00:00:00,296 pages,"['Graphic Novels', 'Comics', 'Fiction']",4.26,remember remember the fifth of novembera frightening and powerful tale of the loss of freedom and identity in a chillingly believable totalitarian world v for vendetta stands as one of the highest achievements of the comics medium and a defining work for creators alan moore and david lloydset in an imagined future england that has given itself over to fascism this groundbreaking story captures both the suffocating nature of life in an authoritarian police state and the redemptive power of the human spirit which rebels against it crafted with sterling clarity and intelligence v for vendetta brings an unequaled depth of characterization and verisimilitude to its unflinching account of oppression and resistance,1,296.0
Dune,Frank Herbert,1965-06-01 00:00:00,604 pages,"['Science Fiction', 'Fiction', 'Fantasy']",4.28,set on the desert planet arrakis dune is the story of the boy paul atreides heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the spice melange a drug capable of extending life and enhancing consciousness coveted across the known universe melange is a prize worth killing forwhen house atreides is betrayed the destruction of pauls family will set the boy on a journey toward a destiny greater than he could ever have imagined and as he evolves into the mysterious man known as muaddib he will bring to fruition humankinds most ancient and unattainable dreama stunning blend of adventure and mysticism environmentalism and politics dune won the first nebula award shared the hugo award and formed the basis of what is undoubtedly the grandest epic in science fiction,1,604.0
Watership Down,Richard  Adams,1972-11-01 00:00:00,478 pages,"['Classics', 'Fiction', 'Fantasy']",4.09,librarians note see alternate cover edition of isbn13 9780380395866 hereset in englands downs a once idyllic rural landscape this stirring tale of adventure courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home led by a stouthearted pair of friends they journey forth from their native sandleford warren through the harrowing trials posed by predators and adversaries to a mysterious promised land and a more perfect society,1,478.0
Wuthering Heights,Emily Brontë,1847-12-01 00:00:00,464 pages,"['Fiction', 'Gothic', 'Historical Fiction']",3.89,you can find the redesigned cover of this edition hereat the centre of this novel is the passionate love between catherine earnshaw and heathcliff  recounted with such emotional intensity that a plain tale of the yorkshire moors acquires the depth and simplicity of ancient tragedythis bestselling norton critical edition is based on the 1847 first edition of the novel for the fourth edition the editor has collated the 1847 text with several modern editions and has corrected a number of variants including accidentals the text is accompanied by entirely new explanatory annotationsnew to the fourth edition are twelve of emily brontes letters regarding the publication of the 1847 edition of wuthering heights as well as the evolution of the 1850 edition prose and poetry selections by the author four reviews of the novel and poetry selections by the author four reviews of the novel and edward chithams insightful and informative chronology of the creative process behind the beloved workfive major critical interpretations of wuthering heights are included three of them new to the fourth edition a stuart daley considers the importance of chronology in the novel j hillis miller examines wuthering heightss problems of genre and critical reputation sandra m gilbert assesses the role of victorian christianity plays in the novel while martha nussbaum traces the novels romanticism finally lin hairesargeant scrutinizes the role of heathcliff in film adaptations of wuthering heights a chronology and updated selected bibliography are also included,1,464.0
White Oleander,Janet Fitch,1999-07-01 00:00:00,446 pages,"['Fiction', 'Coming Of Age', 'Contemporary']",4.0,everywhere hailed as a novel of rare beauty and power white oleander tells the unforgettable story of ingrid a brilliant poet imprisoned for murder and her daughter astrid whose odyssey through a series of los angeles foster homeseach its own universe with its own laws its own dangers its own hard lessons to be learnedbecomes a redeeming and surprising journey of selfdiscovery,1,446.0
Lolita,Vladimir Nabokov,1955-09-01 00:00:00,368 pages,"['Fiction', 'Literature', 'Russia']",3.88,librarians note alternate cover edition of isbn 9780141182537humbert humbert  scholar aesthete and romantic  has fallen completely and utterly in love with dolores haze his landladys gumsnapping silky skinned twelveyearold daughter reluctantly agreeing to marry mrs haze just to be close to lolita humbert suffers greatly in the pursuit of romance but when lo herself starts looking for attention elsewhere he will carry her off on a desperate crosscountry misadventure all in the name of love hilarious flamboyant heartbreaking and full of ingenious word play lolita is an immaculate unforgettable masterpiece of obsession delusion and lust,1,368.0
Jaws,Peter Benchley,1974-05-06 00:00:00,368 pages,"['Horror', 'Fiction', 'Thriller']",3.95,the classic blockbuster thriller of maneating terror that inspired the steven spielberg movie and made millions of beachgoers afraid to go into the water experience the thrill of helpless horror againor for the first time,1,368.0
The Fault in Our Stars,John Green,2012-01-10 00:00:00,313 pages,"['Young Adult', 'Fiction', 'Contemporary']",4.13,despite the tumorshrinking medical miracle that has bought her a few years hazel has never been anything but terminal her final chapter inscribed upon diagnosis but when a gorgeous plot twist named augustus waters suddenly appears at cancer kid support group hazels story is about to be completely rewritteninsightful bold irreverent and raw the fault in our stars is awardwinning author john greens most ambitious and heartbreaking work yet brilliantly exploring the funny thrilling and tragic business of being alive and in love,1,313.0
The Hitchhiker’s Guide to the Galaxy,Douglas Adams,1979-10-12 00:00:00,216 pages,"['Science Fiction', 'Fiction', 'Humor']",4.23,seconds before the earth is demolished to make way for a galactic freeway arthur dent is plucked off the planet by his friend ford prefect a researcher for the revised edition of the hitchhikers guide to the galaxy who for the last fifteen years has been posing as an outofwork actortogether this dynamic pair begin a journey through space aided by quotes from the hitchhikers guide a towel is about the most massively useful thing an interstellar hitchhiker can have and a galaxyfull of fellow travelers zaphod beeblebroxthe twoheaded threearmed exhippie and totally outtolunch president of the galaxy trillian zaphods girlfriend formally tricia mcmillan whom arthur tried to pick up at a cocktail party once upon a time zone marvin a paranoid brilliant and chronically depressed robot veet voojagig a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the yearswhere are these pens why are we born why do we die why do we spend so much time between wearing digital watches for all the answers stick your thumb to the stars and dont forget to bring a towel,1,216.0
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1996-05-22 00:00:00,383 pages,"['Fiction', 'Chick Lit', 'Contemporary']",3.86,when siddalee walker oldest daughter of vivi abbott walker yaya extraordinaire is interviewed in the new york times about a hit play shes directed her mother gets described as a tapdancing child abuser enraged vivi disowns sidda devastated sidda begs forgiveness and postpones her upcoming wedding all looks bleak until the yayas step in and convince vivi to send sidda a scrapbook of their girlhood mementos called divine secrets of the yaya sisterhood as sidda struggles to analyze her mother she comes face to face with the tangled beauty of imperfect love and the fact that forgiveness more than understanding is often what the heart longs for,1,383.0
The Time Traveler's Wife,Audrey Niffenegger,2003-01-01 00:00:00,537 pages,"['Fiction', 'Romance', 'Fantasy']",4.0,this is the extraordinary love story of clare and henry who met when clare was six and henry was thirtysix and were married when clare was twentytwo and henry was thirty impossible but true because henry suffers from a rare condition where his genetic clock periodically resets and he finds himself pulled suddenly into his past or future in the face of this force they can neither prevent nor control henry and clares struggle to lead normal lives is both intensely moving and entirely unforgettable,1,537.0
Alice in Wonderland,Jane Carruth,1865-01-01 00:00:00,96 pages,"['Classics', 'Fantasy', 'Fiction']",4.03,"this is an adaptation for the editions of the original book see here
alices adventures in wonderland commonly shortened to alice in wonderland is an 1865 novel written by english mathematician charles lutwidge dodgson under the pseudonym lewis carroll it tells of a girl named alice falling through a rabbit hole into a fantasy world populated by peculiar anthropomorphic creatures the tale plays with logic giving the story lasting popularity with adults as well as with children it is considered to be one of the best examples of the literary nonsense genre its narrative course and structure characters and imagery have been enormously influential in both popular culture and literature especially in the fantasy genre",1,96.0
’Salem’s Lot,Stephen        King,1975-10-17 00:00:00,483 pages,"['Horror', 'Fiction', 'Vampires']",4.1,librarians note alternatecover edition for isbn 0450031063thousands of miles away from the small township of salems lot two terrified people a man and a boy still share the secrets of those clapboard houses and treelined streets they must return to salems lot for a final confrontation with the unspeakable evil that lives on in the town,1,483.0
Howl’s Moving Castle,Diana Wynne Jones,1986-04-01 00:00:00,329 pages,"['Fantasy', 'Young Adult', 'Fiction']",4.29,an alternative cover edition for this isbn can be found heresophie has the great misfortune of being the eldest of three daughters destined to fail miserably should she ever leave home to seek her fate but when she unwittingly attracts the ire of the witch of the waste sophie finds herself under a horrid spell that transforms her into an old lady her only chance at breaking it lies in the evermoving castle in the hills the wizard howls castle to untangle the enchantment sophie must handle the heartless howl strike a bargain with a fire demon and meet the witch of the waste headon along the way she discovers that theres far more to howland herselfthan first meets the eye,1,329.0
The Ultimate Hitchhiker’s Guide to the Galaxy,Douglas Adams,1996-01-17 00:00:00,815 pages,"['Science Fiction', 'Fiction', 'Humor']",4.38,at last in paperback in one complete volume here are the five novels from douglas adamss hitchhiker series the hitchhikers guide to the galaxyseconds before the earth is demolished for a galactic freeway arthur dent is saved by ford prefect a researcher for the revised guide together they stick out their thumbs to the stars and begin a wild journey through time and spacethe restaurant at the end of the universefacing annihilation at the hands of warmongers is a curious time to crave tea it could only happen to the cosmically displaced arthur dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eatlife the universe and everythingthe unhappy inhabitants of planet krikkit are sick of looking at the night sky so they plan to destroy it the universe that is now only five individuals can avert armageddon mildmannered arthur dent and his stalwart crewso long and thanks for all the fishback on earth arthur dent is ready to believe that the past eight years were all just a figment of his stressedout imagination but a giftwrapped fishbowl with a cryptic inscription conspires to thrust him back to reality so to speakmostly harmlessjust when arthur dent makes the terrible mistake of starting to enjoy life all hell breaks loose can he save the earth from total obliteration can he save the guide from a hostile alien takeover can he save his daughter from herselfalso includes the short story young zaphod plays it safe,1,815.0
The Exorcist,William Peter Blatty,1971-05-01 00:00:00,385 pages,"['Horror', 'Fiction', 'Paranormal']",4.2,georgetown washington dc actress and divorced mother chris macneil starts to experience difficulties with her usually sweetnatured elevenyearold daughter regan the child becomes afflicted by spasms convulsions and unsettling amnesiac episodes these abruptly worsen into violent fits of appalling foulmouthed curses accompanied by physical mutation medical science is baffled by regans plight and in her increasing despair chris turns to troubled priest and psychiatrist damien karras who immediately recognises something profoundly malevolent in regans distorted fetures and speech on karrass recommendation the church summons father merrin a specialist in the exorcism of demons   ,1,385.0
The Silence of the Lambs,Thomas  Harris,1988-07-01 00:00:00,421 pages,"['Horror', 'Fiction', 'Thriller']",4.25,a serial murderer known only by a grotesquely apt nicknamebuffalo billis stalking women he has a purpose but no one can fathom it for the bodies are discovered in different states clarice starling a young trainee at the fbi academy is surprised to be summoned by jack crawford chief of the bureaus behavioral science section her assignment to interview dr hannibal lecterhannibal the cannibalwho is kept under close watch in the baltimore state hospital for the criminally insanedr lecter is a former psychiatrist with a grisly history unusual tastes and an intense curiosity about the darker corners of the mind his intimate understanding of the killer and of clarice herself form the core of the silence of the lambsan ingenious masterfully written book and an unforgettable classic of suspense fiction,1,421.0
City of Bones,Cassandra Clare,2007-03-27 00:00:00,485 pages,"['Fantasy', 'Young Adult', 'Romance']",4.07,when fifteenyearold clary fray heads out to the pandemonium club in new york city she hardly expects to witness a murder much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons then the body disappears into thin air its hard to call the police when the murderers are invisible to everyone else and when there is nothingnot even a smear of bloodto show that a boy has died or was he a boythis is clarys first meeting with the shadowhunters warriors dedicated to ridding the earth of demons its also her first encounter with jace a shadowhunter who looks a little like an angel and acts a lot like a jerk within twentyfour hours clary is pulled into jaces world with a vengeance when her mother disappears and clary herself is attacked by a demon but why would demons be interested in ordinary mundanes like clary and her mother and how did clary suddenly get the sight the shadowhunters would like to know,1,485.0
I Am Legend and Other Stories,Richard Matheson,1954-01-01 00:00:00,317 pages,"['Horror', 'Fiction', 'Science Fiction']",4.0,robert neville is the last living man on earthbut he is not alone every other man woman and child on earth has become a vampire and they are all hungry for nevilles bloodby day he is the hunter stalking the sleeping undead through the abandoned ruins of civilization by night he barricades himself in his home and prays for dawnhow long can one man survive in a world of vampiresi am legend buried talents the near departed prey witch war dance of the dead dress of white silk mad house the funeral from shadowed places person to person,1,317.0
Of Mice and Men,John Steinbeck,1937-02-25 00:00:00,107 pages,"['Fiction', 'School', 'Historical Fiction']",3.89,"i got you to look after me and you got me to look after you and thats why
they are an unlikely pair george is small and quick and dark of face lennie a man of tremendous size has the mind of a young child yet they have formed a family clinging together in the face of loneliness and alienation laborers in californias dusty vegetable fields they hustle work when they can living a handtomouth existence but george and lennie have a plan to own an acre of land and a shack they can call their ownwhile the powerlessness of the laboring class is a recurring theme in steinbecks work of the late 1930s he narrowed his focus when composing of mice and men creating an intimate portrait of two men facing a world marked by petty tyranny misunderstanding jealousy and callousness but though the scope is narrow the theme is universal a friendship and a shared dream that makes an individuals existence meaningfula unique perspective on lifes hardships this story has achieved the status of timeless classic due to its remarkable success as a novel a broadway play and three acclaimed films",1,107.0
The Kite Runner,Khaled Hosseini,2003-05-29 00:00:00,371 pages,"['Fiction', 'Historical Fiction', 'Contemporary']",4.35,1970s afghanistan twelveyearold amir is desperate to win the local kitefighting tournament and his loyal friend hassan promises to help him but neither of the boys can foresee what would happen to hassan that afternoon an event that is to shatter their lives after the russians invade and the family is forced to flee to america amir realises that one day he must return to an afghanistan under taliban rule to find the one thing that his new world cannot grant him redemption,1,371.0
The Age of Innocence,Edith Wharton,1920-10-01 00:00:00,293 pages,"['Classics', 'Fiction', 'Historical Fiction']",3.97,winner of the 1921 pulitzer prize the age of innocence is edith whartons masterful portrait of desire and betrayal during the sumptuous golden age of old new york a time when society people dreaded scandal more than diseasethis is newland archers world as he prepares to marry the beautiful but conventional may welland but when the mysterious countess ellen olenska returns to new york after a disastrous marriage archer falls deeply in love with her torn between duty and passion archer struggles to make a decision that will either courageously define his lifeor mercilessly destroy it,1,293.0
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,1818-01-01 00:00:00,260 pages,"['Horror', 'Fiction', 'Science Fiction']",3.88,this is a previouslypublished edition of isbn 9780143131847 mary shelleys seminal novel of the scientist whose creation becomes a monster this edition is the original 1818 text which preserves the hardhitting and politically charged aspects of shelleys original writing as well as her unflinching wit and strong female voice this edition also includes a new introduction and suggestions for further reading by author and shelley expert charlotte gordon literary excerpts and reviews selected by gordon and a chronology and essay by preeminent shelley scholar charles e robinson,1,260.0
Dracula,Bram Stoker,1897-05-26 00:00:00,488 pages,"['Classics', 'Horror', 'Fiction']",4.02,you can find an alternative cover edition for this isbn here and herewhen jonathan harker visits transylvania to help count dracula with the purchase of a london house he makes a series of horrific discoveries about his client soon afterwards various bizarre incidents unfold in england an apparently unmanned ship is wrecked off the coast of whitby a young woman discovers strange puncture marks on her neck and the inmate of a lunatic asylum raves about the master and his imminent arrivalin dracula bram stoker created one of the great masterpieces of the horror genre brilliantly evoking a nightmare world of vampires and vampire hunters and also illuminating the dark corners of victorian sexuality and desirethis norton critical edition includes a rich selection of background and source materials in three areas contexts includes probable inspirations for dracula in the earlier works of james malcolm rymer and emily gerard also included are a discussion of stokers working notes for the novel and draculas guest the original opening chapter to dracula reviews and reactions reprints five early reviews of the novel dramatic and film variations focuses on theater and film adaptations of dracula two indications of the novels unwavering appeal david j skal gregory a waller and nina auerbach offer their varied perspectives checklists of both dramatic and film adaptations are includedcriticism collects seven theoretical interpretations of dracula by phyllis a roth carol a senf franco moretti christopher craft bram dijkstra stephen d arata and talia schaffera chronology and a selected bibliography are included,1,488.0
The Godfather,Mario Puzo,1969-03-10 00:00:00,448 pages,"['Fiction', 'Classics', 'Crime']",4.39,the godfatherthe epic tale of crime and betrayal that became a global phenomenonalmost fifty years ago a classic was born a searing portrayal of the mafia underworld the godfather introduced readers to the first family of american crime fiction the corleones and their powerful legacy of tradition blood and honor the seduction of power the pitfalls of greed and the allegiance to familythese are the themes that have resonated with millions of readers around the world and made the godfather the definitive novel of the violent subculture that steeped in intrigue and controversy remains indelibly etched in our collective consciousness,1,448.0
Catch-22,Joseph Heller,1961-11-10 00:00:00,453 pages,"['Classics', 'Fiction', 'Historical Fiction']",3.99,fifty years after its original publication catch22 remains a cornerstone of american literature and one of the funniestand most celebratedbooks of all time in recent years it has been named to best novels lists by time newsweek the modern library and the london observerset in italy during world war ii this is the story of the incomparable malingering bombardier yossarian a hero who is furious because thousands of people he has never met are trying to kill him but his real problem is not the enemyit is his own army which keeps increasing the number of missions the men must fly to complete their service yet if yossarian makes any attempt to excuse himself from the perilous missions hes assigned hell be in violation of catch22 a hilariously sinister bureaucratic rule a man is considered insane if he willingly continues to fly dangerous combat missions but if he makes a formal request to be removed from duty he is proven sane and therefore ineligible to be relievedthis fiftiethanniversary edition commemorates joseph hellers masterpiece with a new introduction by christopher buckley a wealth of critical essays and reviews by norman mailer alfred kazin anthony burgess and others rare papers and photos from joseph hellers personal archive and much more here at last is the definitive edition of a classic of world literature,1,453.0
Snow Falling on Cedars,David Guterson,1994-09-12 00:00:00,460 pages,"['Fiction', 'Historical Fiction', 'Mystery']",3.86,gripping tragic and densely atmospherica masterpiece of suspense san piedro island north of puget sound is a place so isolated that no one who lives there can afford to make enemies but in 1954 a local fisherman is found suspiciously drowned and a japanese american named kabuo miyamoto is charged with his murder in the course of the ensuing trial it becomes clear that what is at stake is more than a mans guilt for on san pedro memories of a charmed love affair between a white boy and the japanese girl who grew up to become kabuos wife memories of land desired paid for and lost above all san piedro is haunted by the memory of what happened to its japanese residents during world war ii when an entire community was sent into exile while its neighbors watched,1,460.0
